Claim Number,date_of_loss,Notifier,Loss_code,Loss_description,Notification_period,Inception_to_loss,Location_of_incident,Weather_conditions,Vehicle_mobile,Time_hour,Main_driver,PH_considered_TP_at_fault,Vechile_registration_present,Incident_details_present,Injury_details_present,TP_type_insd_pass_back,TP_type_insd_pass_front,TP_type_driver,TP_type_pass_back,TP_type_pass_front,TP_type_bike,TP_type_cyclist,TP_type_pass_multi,TP_type_pedestrian,TP_type_other,TP_type_nk,TP_injury_whiplash,TP_injury_traumatic,TP_injury_fatality,TP_injury_unclear,TP_injury_nk,TP_region_eastang,TP_region_eastmid,TP_region_london,TP_region_north,TP_region_northw,TP_region_outerldn,TP_region_scotland,TP_region_southe,TP_region_southw,TP_region_wales,TP_region_westmid,TP_region_yorkshire,Incurred,Capped Incurred,
1,2003-04-15,PH,LD003,Head on collision,22,13,Main Road,NORMAL,Y,10,Other,n/k, 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
4070,2012-10-15,Other,LD003,Head on collision,0,35,Minor Road,WET,N,18,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2 , 	-   , 	-   ," £	9,449 "," £	9,449 ",
4071,2012-10-15,PH,LD003,Head on collision,0,213,Minor Road,WET,Y,15,Y,N, 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	1,431 "," £	1,431 ",
4072,2012-10-15,PH,LD003,Head on collision,1,81,Minor Road,WET,Y,10,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   ," £	22,367 "," £	22,367 ",
4073,2012-10-15,PH,LD003,Head on collision,1,45,Minor Road,NORMAL,N,18,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   ," £	17,202 "," £	17,202 ",
4074,2012-10-15,PH,LD003,Head on collision,0,194,Main Road,NORMAL,N,8,Other,Y, 	1 , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	29,386 "," £	29,386 ",
4075,2012-10-15,PH,LD003,Head on collision,0,318,Main Road,NORMAL,Y,8,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
4076,2012-10-16,PH,LD003,Head on collision,0,25,Minor Road,NORMAL,Y,13,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	2 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	2 , 	-   , 	1 , 	1 , 	-   , 	3 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	45,295 "," £	45,295 ",
4077,2012-10-16,NamedDriver,LD003,Head on collision,0,300,Minor Road,NORMAL,Y,17,N,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	183 , £	183 ,
4078,2012-10-17,PH,LD003,Head on collision,0,348,Minor Road,WET,N,7,Other,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   ," £	1,929 "," £	1,929 ",
4079,2012-10-17,Other,LD003,Head on collision,0,227,Minor Road,WET,N,7,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
4080,2012-10-17,Other,LD003,Head on collision,1,26,Minor Road,WET,N,13,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	2,887 "," £	2,887 ",
4081,2012-10-17,PH,LD003,Head on collision,0,143,Minor Road,WET,Y,14,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   ," £	1,506 "," £	1,506 ",
4082,2012-10-17,PH,LD003,Head on collision,8,19,Minor Road,NORMAL,Y,17,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	2,281 "," £	2,281 ",
4083,2012-10-18,PH,LD003,Head on collision,0,29,Minor Road,WET,Y,8,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	1,226 "," £	1,226 ",
4084,2012-10-18,PH,LD003,Head on collision,0,30,Minor Road,WET,N,12,Other,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	2,253 "," £	2,253 ",
4085,2012-10-18,PH,LD003,Head on collision,1,109,Minor Road,NORMAL,Y,8,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , £	-   , £	-   ,
4086,2012-10-19,PH,LD003,Head on collision,0,63,Minor Road,WET,N,9,Y,N, 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
4087,2012-10-19,PH,LD003,Head on collision,1,209,Main Road,WET,N,18,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   ," £	41,536 "," £	41,536 ",
4088,2012-10-20,PH,LD003,Head on collision,1,27,Minor Road,NORMAL,Y,18,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	35,106 "," £	35,106 ",
4089,2012-10-21,PH,LD003,Head on collision,0,183,Minor Road,NORMAL,Y,12,Y,N, 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
4090,2012-10-21,PH,LD003,Head on collision,15,348,Minor Road,NORMAL,Y,19,Y,N, 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	1,483 "," £	1,483 ",
4091,2012-10-21,PH,LD003,Head on collision,4,83,Minor Road,WET,Y,14,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
4092,2012-10-22,PH,LD003,Head on collision,1,62,Minor Road,WET,Y,15,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
4093,2012-10-22,TP,LD003,Head on collision,3,157,Minor Road,NORMAL,Y,17,Y,Y, 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
4094,2012-10-22,PH,LD003,Head on collision,1,315,Minor Road,NORMAL,Y,17,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
4095,2012-10-22,PH,LD003,Head on collision,1,63,Minor Road,"SNOW,ICE,FOG",Y,8,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
4096,2012-10-23,PH,LD003,Head on collision,1,157,Minor Road,"SNOW,ICE,FOG",Y,23,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   ," £	1,915 "," £	1,915 ",
4097,2012-10-23,PH,LD003,Head on collision,0,24,Main Road,WET,Y,8,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	1,284 "," £	1,284 ",
4098,2012-10-24,TP,LD003,Head on collision,23,362,Minor Road,WET,Y,13,Y,N, 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	699 , £	699 ,
4099,2012-10-25,PH,LD003,Head on collision,0,267,Minor Road,WET,N,8,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   ," £	4,553 "," £	4,553 ",
4100,2012-10-25,PH,LD003,Head on collision,0,268,Main Road,NORMAL,Y,17,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	9,648 "," £	9,648 ",
4101,2012-10-25,PH,LD003,Head on collision,0,244,Main Road,NORMAL,Y,10,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
4102,2012-10-25,PH,LD003,Head on collision,11,3,Minor Road,WET,N,7,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	2 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	1 , 	-   , 	2 , 	1 , 	-   , 	-   , 	-   , 	2 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	46,500 "," £	46,500 ",
4103,2012-10-26,PH,LD003,Head on collision,0,38,Main Road,NORMAL,N,8,Y,N, 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   ," £	10,107 "," £	10,107 ",
4104,2012-10-26,PH,LD003,Head on collision,12,290,Minor Road,WET,Y,16,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
4105,2012-10-26,Other,LD003,Head on collision,0,19,Minor Road,WET,N,14,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	5,725 "," £	5,725 ",
4106,2012-10-28,Other,LD003,Head on collision,1,62,Minor Road,WET,n/k,14,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	811 , £	811 ,
4107,2012-10-28,Other,LD003,Head on collision,1,58,Main Road,WET,N,19,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	4,484 "," £	4,484 ",
4108,2012-10-29,Other,LD003,Head on collision,0,271,Minor Road,NORMAL,Y,13,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	683 , £	683 ,
4109,2012-10-29,PH,LD003,Head on collision,1,249,Main Road,NORMAL,N,17,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   ," £	3,039 "," £	3,039 ",
4110,2012-10-29,PH,LD003,Head on collision,0,301,Minor Road,WET,Y,9,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   ," £	14,224 "," £	14,224 ",
4111,2012-10-29,PH,LD003,Head on collision,0,254,Minor Road,WET,N,22,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	10,368 "," £	10,368 ",
4112,2012-10-29,PH,LD003,Head on collision,0,343,Minor Road,WET,Y,12,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	472 , £	472 ,
4113,2012-10-30,PH,LD003,Head on collision,0,232,Minor Road,NORMAL,Y,9,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   ," £	1,494 "," £	1,494 ",
4114,2012-10-30,PH,LD003,Head on collision,1,29,Minor Road,NORMAL,Y,15,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
4115,2012-10-31,Other,LD003,Head on collision,0,174,Minor Road,WET,Y,8,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , £	973 , £	973 ,
4116,2012-10-31,PH,LD003,Head on collision,0,260,Main Road,WET,N,10,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2 , 	1 , 	-   , 	-   , 	2 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2 , 	-   ," £	51,104 "," £	50,000 ",
4117,2012-11-01,Other,LD003,Head on collision,0,290,Minor Road,WET,Y,9,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	2 , 	2 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
4118,2012-11-01,PH,LD003,Head on collision,7,163,Main Road,NORMAL,N,16,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	15,077 "," £	15,077 ",
4119,2012-11-01,Other,LD003,Head on collision,0,220,Main Road,NORMAL,Y,11,Y,N, 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   ," £	2,001 "," £	2,001 ",
4120,2012-11-03,PH,LD003,Head on collision,0,12,Main Road,WET,N,13,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   ," £	12,939 "," £	12,939 ",
4121,2012-11-04,PH,LD003,Head on collision,0,286,Minor Road,NORMAL,Y,13,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	25,937 "," £	25,937 ",
4122,2012-11-05,PH,LD003,Head on collision,1,35,Minor Road,NORMAL,N,16,N,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , £	93 , £	93 ,
4123,2012-11-05,PH,LD003,Head on collision,1,330,Main Road,NORMAL,Y,14,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	23 , £	23 ,
4124,2012-11-05,PH,LD003,Head on collision,3,147,Minor Road,NORMAL,N,14,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	2,266 "," £	2,266 ",
4125,2012-11-06,NamedDriver,LD003,Head on collision,1,355,Main Road,N/A,N,20,Y,N, 	1 , 	1 , 	1 , 	1 , 	-   , 	1 , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	4 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3 ," £	320,886 "," £	50,000 ",
4126,2012-11-06,PH,LD003,Head on collision,1,132,Main Road,NORMAL,N,8,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , £	-   , £	-   ,
4127,2012-11-06,PH,LD003,Head on collision,1,349,Main Road,NORMAL,N,14,Y,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	120,497 "," £	50,000 ",
4128,2012-11-06,PH,LD003,Head on collision,0,83,Minor Road,WET,Y,9,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , £	-   , £	-   ,
4129,2012-11-06,PH,LD003,Head on collision,4,112,Main Road,WET,Y,8,Y,N, 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," £	1,808 "," £	1,808 ",
4130,2012-11-07,PH,LD003,Head on collision,0,216,Minor Road,NORMAL,N,10,N,N, 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	2 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   ," £	6,577 "," £	6,577 ",
